Item ID,Title,Price,Sold,Country,Subtitle,Price Type,URL
190984932022,New For Samsung Galaxy SIV S4 i9500 Flower Leather Flip Wallet Pouch Case Cover,$5.05,403+ sold,From China,,Buy It Now,http://www.ebay.com/itm/New-For-Samsung-Galaxy-SIV-S4-i9500-Flower-Leather-Flip-Wallet-Pouch-Case-Cover-/190984932022?pt=US_Cell_Phone_PDA_Cases&var=&hash=item2c7796cab6
111013126219,SAMSUNG C&T Car Dash Mount Stand Holder for Galaxy Note 2 3 4 S4 S5 iPhone 4 5 6,$19.50,2417 sold,"From Korea, South",,Buy It Now,http://www.ebay.com/itm/SAMSUNG-C-T-Car-Dash-Mount-Stand-Holder-for-Galaxy-Note-2-3-4-S4-S5-iPhone-4-5-6-/111013126219?pt=US_Mounts_Holders&hash=item19d8e5e04b
171506145027,Super Frosted Matte Case Sandstone Back Cover For Oneplus One,$7.96,148+ sold,From China,,Buy It Now,http://www.ebay.com/itm/Super-Frosted-Matte-Case-Sandstone-Back-Cover-For-Oneplus-One-/171506145027?pt=US_Cell_Phone_PDA_Cases&var=&hash=item27ee901703
310993435759,,$7.99,1195 sold,From United States,100% Satisfaction Guaranteed Or Your Money Back!!!,Buy It Now,http://www.ebay.com/itm/New-OEM-Genuine-Blackberry-Z30-Leather-Flip-Shell-Carrying-Cover-Case-Black-/310993435759?pt=US_Cell_Phone_PDA_Cases&hash=item4868a73c6f
331103505112,New Nillkin Fresh Colorful Leather Skin Flip Case Cover For LG G2 D802 Perfect,$5.99,217+ sold,From Hong Kong,,Buy It Now,http://www.ebay.com/itm/New-Nillkin-Fresh-Colorful-Leather-Skin-Flip-Case-Cover-For-LG-G2-D802-Perfect-/331103505112?pt=US_Cell_Phone_PDA_Cases&var=&hash=item4d174e8ad8
121409353973,Genuine Battery + Flex Cable For LG Optimus G Google Nexus 4 E960 E970/973 BL-T5,$14.97,243+ sold,From China,,Buy It Now,http://www.ebay.com/itm/Genuine-Battery-Flex-Cable-For-LG-Optimus-G-Google-Nexus-4-E960-E970-973-BL-T5-/121409353973?pt=US_Cell_Phone_PDA_Batteries&var=&hash=item1c448fb8f5
351005687931,Ultra Clear Front and Back Screen Protector for iPhone 5 5S full body protection,,599+ sold,From China,,Buy It Now,http://www.ebay.com/itm/Ultra-Clear-Front-and-Back-Screen-Protector-for-iPhone-5-5S-full-body-protection-/351005687931?pt=US_Cell_Phone_Screen_Protectors&var=&hash=item51b991c07b
290937729406,New 3x MATTE Anti Glare Screen Protector Guard for Samsung Galaxy S III S3 i9300,$2.63,1109 sold,From Hong Kong,,Buy It Now,http://www.ebay.com/itm/New-3x-MATTE-Anti-Glare-Screen-Protector-Guard-for-Samsung-Galaxy-S-III-S3-i9300-/290937729406?pt=US_Cell_Phone_Screen_Protectors&hash=item43bd3d717e
161408407735,Luxury Ultra Thin Slim Metal Aluminium Bumper Case Cover Frame for iPhone 6 Plus,,124+ sold,From China,,Buy It Now,http://www.ebay.com/itm/Luxury-Ultra-Thin-Slim-Metal-Aluminium-Bumper-Case-Cover-Frame-for-iPhone-6-Plus-/161408407735?pt=US_Cell_Phone_PDA_Cases&var=&hash=item2594b0d8b7
400707075410,NEW Running Sports Gym Armband Case Cover For Samsung Galaxy S3 S4 i9300 i9500,$2.33,261+ sold,From China,,Buy It Now,http://www.ebay.com/itm/NEW-Running-Sports-Gym-Armband-Case-Cover-For-Samsung-Galaxy-S3-S4-i9300-i9500-/400707075410?pt=US_Armbands&var=&hash=item5d4c00bd52
